estimates,runtime,forced,relevant_nodes,cat_regions,b_adic_cubes,num_regions,candidate_regions,query_regions,level_0_queries,level_1_queries,level_2_queries,level_3_queries,level_4_queries,level_5_queries,level_6_queries,level_7_queries,level_8_queries,true_counts,absolute_error,normalized_error,relative_error
14015,0.071911,-1,1,1,13,13,13,6,1,1,1,3,0,0,0,0,0,13987,28,4.667180056472879e-05,0.002001858868949739
21505,0.064064,-1,1,1,13,13,13,13,1,5,3,4,0,0,0,0,0,21435,70,0.00011667950141182197,0.0032656869605784933
21864,0.091857,-1,1,1,17,17,17,17,6,4,3,4,0,0,0,0,0,21755,109,0.0001816866521984085,0.005010342450011492
32552,4.679621,-1,1,1,5401,682,682,682,487,176,18,1,0,0,0,0,0,25667,6885,0.011476262388862775,0.2682432695679277
108309,7.022151,-1,1,1,8353,1126,1126,1126,1003,78,39,6,0,0,0,0,0,96569,11740,0.019568819236782713,0.12157110459878429
42949,0.032335,-1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,42949,0,0.0,0.0
82952,5.930724,-1,1,1,8257,784,784,784,499,233,49,3,0,0,0,0,0,75486,7466,0.012444702250580897,0.09890575735898047
141873,18.542162,-1,1,1,18981,3873,3873,3873,1789,2060,7,17,0,0,0,0,0,106435,35438,0.05906983101474496,0.3329543853055856
152267,0.136962,-1,1,1,22,22,22,22,4,5,5,7,1,0,0,0,0,152174,93,0.00015501705187570634,0.0006111425079185669
25955,2.667113,-1,462,308,5,5,1540,1251,242,493,516,0,0,0,0,0,0,17482,8473,0.014123220220890964,0.48466994623040843
117650,16.915893,-1,1,1,19779,3234,3234,3234,1141,2066,10,17,0,0,0,0,0,89146,28504,0.0475118929748939,0.319745137190676
11173,2.433537,-1,1,1,883,882,882,581,312,259,6,4,0,0,0,0,0,5677,5496,0.009161007710848193,0.9681169631847807
5527,0.080895,-1,1,1,17,17,17,9,3,4,0,2,0,0,0,0,0,5466,61,0.000101677851230302,0.011159897548481523
101936,2.937567,-1,1,1,5401,179,179,179,120,42,12,5,0,0,0,0,0,100245,1691,0.002818643384105585,0.016868671754202206
48259,3.061625,-1,1,1,919,917,917,917,611,260,46,0,0,0,0,0,0,39432,8827,0.01471328512803075,0.22385372286467844
9248,1.626401,-1,1,1,649,644,644,351,315,0,32,4,0,0,0,0,0,5613,3635,0.006058999823313898,0.6476037769463745
156240,0.035835,-1,1,1,4,4,4,4,1,2,0,1,0,0,0,0,0,156211,29,4.833865058489767e-05,0.00018564633732579653
151751,0.045798,-1,1,1,9,9,9,9,1,0,4,4,0,0,0,0,0,151716,35,5.833975070591099e-05,0.00023069419177937725
151464,0.080343,-1,1,1,17,17,17,17,6,4,3,4,0,0,0,0,0,151330,134,0.00022335790270263062,0.0008854820590761911
43492,0.014379,-1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,43492,0,0.0,0.0
21262,0.01111,-1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,21262,0,0.0,0.0
85608,0.013641,-1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,85608,0,0.0,0.0
3025,0.387852,-1,54,36,5,5,180,144,28,57,59,0,0,0,0,0,0,2033,992,0.0016535152200075343,0.4879488440727988
50793,6.204237,-1,7,7,5497,702,4914,867,102,429,294,42,0,0,0,0,0,45141,5652,0.00942103631399454,0.12520768259453713
21531,0.121443,-1,1,1,17,17,17,17,6,4,3,4,0,0,0,0,0,21421,110,0.00018335350221857738,0.005135147752205779
139682,1.919724,-1,1,1,2521,256,256,256,42,181,23,10,0,0,0,0,0,137711,1971,0.003285361389752873,0.014312582146669474
55919,19.898488,-1,1,1,30107,2677,2677,2677,72,1739,802,64,0,0,0,0,0,38587,17332,0.02888984454956712,0.44916681784020523
18104,0.075894,-1,1,1,13,13,13,9,1,4,0,4,0,0,0,0,0,18061,43,7.167455086726206e-05,0.00238082055257184
53599,50.758131,-1,1,1,108781,2299,2299,2299,354,1252,625,68,0,0,0,0,0,37682,15917,0.026531251771028146,0.4224032694655273
48331,2.997048,-1,1,1,919,917,917,917,611,260,46,0,0,0,0,0,0,39342,8989,0.01498331483129811,0.22848355447104876
148435,2.852724,-1,1,1,5401,164,164,164,120,28,9,7,0,0,0,0,0,146880,1555,0.0025919517813626164,0.010586873638344227
42447,0.211603,-1,21,7,17,17,119,56,28,0,14,14,0,0,0,0,0,42096,351,0.0005850643570792787,0.008338084378563284
24282,11.939716,-1,1,1,16319,2451,2451,1172,947,27,182,16,0,0,0,0,0,12657,11625,0.01937713148446329,0.9184640910168287
16229,2.551712,-1,378,252,9,9,2268,955,29,0,439,487,0,0,0,0,0,13781,2448,0.004080448849373431,0.17763587548073434
151217,0.059512,-1,1,1,9,9,9,9,1,0,4,4,0,0,0,0,0,151188,29,4.833865058489767e-05,0.0001918141651453819
29235,4.22863,-1,1,1,8257,240,240,240,210,21,9,0,0,0,0,0,0,26701,2534,0.004223797951107955,0.0949028126287405
19815,4.294408,-1,1,1,8353,215,215,169,134,14,15,6,0,0,0,0,0,18111,1704,0.0028403124343677802,0.09408646678813981
11152,2.519328,-1,1,1,937,933,933,598,334,254,6,4,0,0,0,0,0,5512,5640,0.009401034113752513,1.02322206095791
11476,2.669799,-1,1,1,973,971,971,636,336,254,46,0,0,0,0,0,0,5655,5821,0.009702733967403081,1.0293545534924846
26277,3.415964,-1,7,7,5401,127,889,386,274,49,42,21,0,0,0,0,0,22678,3599,0.005998993222587818,0.15870006173383897
42892,0.021677,-1,3,1,1,1,1,1,0,0,0,0,0,0,0,0,1,42892,0,0.0,0.0
48410,2.878289,-1,1,1,937,931,931,931,667,254,6,4,0,0,0,0,0,39177,9233,0.015390026236219318,0.23567399239349618
126781,19.632764,-1,1,1,20134,4186,4186,4186,2016,1836,334,0,0,0,0,0,0,89626,37155,0.06193181249937493,0.41455604400508783
87728,12.786937,-1,1,1,16481,2271,2271,2271,2071,4,183,13,0,0,0,0,0,64165,23563,0.03927598702523944,0.36722512273046054
49118,3.050384,-1,1,1,973,969,969,969,669,254,46,0,0,0,0,0,0,39482,9636,0.016061766794347378,0.24406058457018387
21581,4.305796,-1,1,1,8257,281,281,218,177,28,6,7,0,0,0,0,0,19399,2182,0.0036370667440085076,0.11248002474354347
84745,70.678996,-1,7,7,112969,3318,23226,10056,347,1156,8217,336,0,0,0,0,0,37549,47196,0.0786686535518907,1.256917627633226
7068,7.276691,-1,1,1,15352,304,304,169,70,7,78,14,0,0,0,0,0,5869,1199,0.001998553174182493,0.20429374680524792
133369,2.861718,-1,1,1,5497,104,104,104,60,21,18,5,0,0,0,0,0,132507,862,0.001436824717385579,0.006505316700249798
21512,0.088847,-1,1,1,13,13,13,13,1,5,3,4,0,0,0,0,0,21452,60,0.00010001100121013311,0.0027969420100689914
30110,63.945202,3,1,1,425,204,204,204,0,0,0,204,0,0,0,0,0,28589,1521,0.0025352788806768745,0.05320228059743258
80253,14.652791,-1,1,1,16712,2314,2314,2314,2073,40,190,11,0,0,0,0,0,56397,23856,0.039764374081148926,0.4230012234693335
19990,0.152551,-1,3,3,13,13,39,31,2,12,8,9,0,0,0,0,0,19819,171,0.00028503135344887937,0.00862808416166305
151334,0.07597,-1,1,1,17,17,17,17,6,4,3,4,0,0,0,0,0,151208,126,0.00021002310254127955,0.0008332892439553462
156479,0.026427,-1,1,1,4,4,4,4,1,2,0,1,0,0,0,0,0,156457,22,3.667070044371547e-05,0.00014061371495043367
43566,14.121423,-1,1,1,25097,1051,1051,1051,111,72,800,68,0,0,0,0,0,38424,5142,0.008570942803708409,0.13382261086820738
25641,86.264933,3,1,1,450,162,162,162,0,0,0,162,0,0,0,0,0,26759,1118,0.0018635383225488137,0.041780335588026456
127643,19.79581,-1,1,1,19497,3815,3815,3815,1481,2307,10,17,0,0,0,0,0,93539,34104,0.056846253087839665,0.36459658538149864
138353,19.74248,-1,1,1,19564,4165,4165,4165,1626,2189,350,0,0,0,0,0,0,102620,35733,0.059561551770694776,0.3482069771974274
10624,2.415679,-1,1,1,4849,100,100,79,39,21,18,1,0,0,0,0,0,9947,677,0.0011284574636543352,0.06806072182567609
150932,0.112528,-1,1,1,17,17,17,17,6,4,3,4,0,0,0,0,0,150809,123,0.00020502255248077287,0.0008156011909103569
47252,2.35881,-1,1,1,730,727,727,727,670,24,29,4,0,0,0,0,0,39562,7690,0.012818076655098728,0.19437844396137707
152246,0.21007,-1,1,1,42,42,42,42,6,5,15,16,0,0,0,0,0,152077,169,0.0002816976534085416,0.0011112791546387685
5379,0.07732,-1,3,1,17,17,17,7,2,2,1,2,0,0,0,0,0,5334,45,7.500825090759983e-05,0.00843644544431946
9620,1.785477,-1,1,1,676,673,673,384,321,30,29,4,0,0,0,0,0,5649,3971,0.0066190614300906435,0.7029562754469818
21576,0.082152,-1,1,1,13,13,13,13,1,5,3,4,0,0,0,0,0,21510,66,0.00011001210133114643,0.0030683403068340305
152331,0.102782,-1,1,1,22,22,22,22,4,5,5,7,1,0,0,0,0,152235,96,0.000160017601936213,0.0006306040003941275
5343,0.10463,-1,1,1,24,24,24,19,1,5,5,7,1,0,0,0,0,5272,71,0.00011834635143199086,0.013467374810318665
0,0.056122,-1,7,0,17,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
71015,20.991051,-1,7,7,16554,2274,15918,4779,3324,59,1319,77,0,0,0,0,0,28116,42899,0.07150619901522501,1.5257860293071561
53952,47.707101,-1,1,1,102145,2288,2288,2288,359,1236,625,68,0,0,0,0,0,38137,15815,0.02636123306897092,0.4146891470225765
150031,0.115259,-1,1,1,17,17,17,17,6,4,3,4,0,0,0,0,0,149930,101,0.0001683518520370574,0.0006736477022610552
85856,0.020131,-1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,85856,0,0.0,0.0
144184,4.433294,-1,1,1,5401,693,693,693,484,152,48,9,0,0,0,0,0,137390,6794,0.011324579037027407,0.04945046946648227
145333,4.474652,-1,1,1,5497,720,720,720,482,172,58,8,0,0,0,0,0,138498,6835,0.011392919887854331,0.04935089315369175
64653,3.915056,-1,1,1,5401,524,524,524,240,254,27,3,0,0,0,0,0,59862,4791,0.00798587844662913,0.08003407838027463
22865,67.070524,3,1,1,360,162,162,162,0,0,0,162,0,0,0,0,0,23709,844,0.001406821417022539,0.03559829600573622
2709,0.758796,-1,54,36,17,17,612,160,21,31,45,63,0,0,0,0,0,2021,688,0.001146792813876193,0.3404255319148936
15726,0.11391,-1,1,1,17,17,17,12,4,2,2,4,0,0,0,0,0,15658,68,0.00011334580137148419,0.004342827947375144
36748,19.303387,-1,1,1,19208,4413,4413,2699,1046,1629,7,17,0,0,0,0,0,12900,23848,0.039751039280987575,1.8486821705426357
65482,0.199273,-1,7,7,13,13,91,49,7,7,7,28,0,0,0,0,0,65320,162,0.0002700297032673594,0.0024800979791794243
21613,0.096386,-1,1,1,17,17,17,17,6,4,3,4,0,0,0,0,0,21488,125,0.00020835625252111067,0.005817200297840656
25504,9.877001,-1,21,21,5401,606,12726,1850,59,1686,84,21,0,0,0,0,0,11861,13643,0.0227408348251641,1.1502402832813423
111888,19.885612,-1,1,1,20126,3772,3772,3772,1299,2125,348,0,0,0,0,0,0,80162,31726,0.052882483739878056,0.3957735585439485
14369,67.843294,3,1,1,425,102,102,102,0,0,0,102,0,0,0,0,0,13027,1342,0.002236912727066644,0.10301681123819759
30247,66.496079,3,1,1,425,204,204,204,0,0,0,204,0,0,0,0,0,30763,516,0.0008600946104071448,0.016773396612814094
300396,0.067947,-1,21,7,1,1,7,7,0,0,0,0,0,0,0,0,7,300396,0,0.0,0.0
20620,4.094624,-1,1,1,5401,590,590,282,98,139,36,9,0,0,0,0,0,18338,2282,0.003803751746025396,0.1244410513687425
98567,4.589939,-1,1,1,8257,196,196,196,150,28,15,3,0,0,0,0,0,96716,1851,0.0030853393873326064,0.019138508623185408
109970,12.700008,-1,1,1,16481,1853,1853,1853,1612,20,205,16,0,0,0,0,0,90941,19029,0.03171848903379372,0.2092455548102616
22825,3.920359,-1,1,1,5401,675,675,312,117,159,26,10,0,0,0,0,0,20275,2550,0.004250467551430657,0.12577065351418001
11526,2.837339,-1,1,1,946,937,937,623,351,253,16,3,0,0,0,0,0,5605,5921,0.00986941896941997,1.056378233719893
9511,50.045697,-1,1,1,110214,2260,2260,765,67,173,457,68,0,0,0,0,0,5507,4004,0.006674067480756217,0.7270746322861812
143579,2.919012,-1,1,1,5497,128,128,128,60,42,21,5,0,0,0,0,0,142582,997,0.0016618494701083786,0.006992467492390343
121920,3.652233,-1,1,1,4849,546,546,546,499,0,38,9,0,0,0,0,0,116222,5698,0.009497711414922307,0.049026862384058095
21510,0.102569,-1,1,1,17,17,17,17,1,5,8,3,0,0,0,0,0,21408,102,0.0001700187020572263,0.00476457399103139
25296,67.337798,3,1,1,360,162,162,162,0,0,0,162,0,0,0,0,0,28760,3464,0.005773968469865018,0.12044506258692629
21517,0.124051,-1,1,1,17,17,17,17,6,4,3,4,0,0,0,0,0,21408,109,0.0001816866521984085,0.005091554559043348
32242,67.264856,3,1,1,360,198,198,198,0,0,0,198,0,0,0,0,0,35918,3676,0.006127340674140822,0.10234422852051896
12953,0.184228,-1,3,3,17,17,51,19,4,2,6,7,0,0,0,0,0,12855,98,0.00016335130197655075,0.007623492804356281
